code;text;exclusive;recode
aes-en_8_4_4;"""Seitdem wir im Unterricht über englischsprachige Texte und Medien (z. B. Videos oder Hörbeispiele) gesprochen haben, verbinde ich damit ein bestimmtes Gefühl.""";1;0
aes-en_8_4_5;"""Unsere Lehrkraft behandelt im Unterricht manchmal Themen mit uns, die mich über mich selbst nachdenken lassen.""";1;0
aes-en_8_5;"""Bewusstsein für Beeinflussung und Gefahren ästhetischer Erfahrung""";0;0
aes-en_8_5_1;"""Ich habe das Gefühl, unsere Lehrkraft möchte, dass ich dasselbe denke oder dasselbe gut finde wie sie.""";0;1
aes-en_8_5_2;"""Ich habe das Gefühl, dass ich bei einem bestimmten Unterrichtsthema etwas fühlen soll, was ich aber gar nicht tue.""";1;1
aes-en_8_5_3;"""Im Unterricht dürfen wir alle unsere freie Meinung äußern, aufgeschrieben wird aber diejenige unserer Lehrkraft.""";1;1
aes-en_8_5_4;"""Ich habe das Gefühl, dass unsere Lehrkraft mir ihre Vorlieben in Englisch aufzwingen möchte.""";1;1
fps-en_9;"""fachspezifische Items Englisch""";0;0
fps-en_9_1;"""Fremdheitserfahrung""";0;0
fps-en_9_1_1;"""Im Unterricht lerne ich fremde Lebenswelten kennen.""";1;0
fps-en_9_1_2;"""Der Unterricht eröffnet mir oftmals eine neue Sicht auf (bekannte) Dinge.""";0;0
fps-en_9_1_3;"""Im Unterricht gibt es häufig Gelegenheiten, den Blickwinkel anderer Personen einzunehmen.""";1;0
fps-en_9_1_4;"""Unsere Lehrkraft ermutigt uns, selbstständig Gemeinsamkeiten und Unterschiede zwischen unserer und fremden Lebenswelten zu finden.""";1;0
fps-en_9_2;"""Kommunikation der Lehrkraft in sprachlich und fachlich korrektem und/aber dem Lernstand angepasstem Englisch""";0;0
fps-en_9_2_1;"""Ich kann unserer Lehrkraft gut folgen, wenn sie im Unterricht Englisch spricht.""";1;0
fps-en_9_2_2;"""Unsere Lehrkraft drückt sich im Unterricht klar und verständlich auf Englisch aus.""";1;0
fps-en_9_2_3;"""Unsere Lehrkraft verwendet selten englische Begriffe, die ich nicht kenne."" ";1;0
fps-en_9_2_4;"""Unsere Lehrkraft formuliert ihre Sätze auf Englisch um, wenn sie merkt, dass wir sie nicht verstehen.""";0;0
fps-en_9_2_5;"""Unsere Lehrkraft muss nicht lange überlegen, wenn sie etwas auf Englisch sagt. """;1;0
fps-en_9_2_6;"""Unserer Lehrkraft fallen in der Regel englische Wörter sehr schnell ein.""";1;0
fps-en_9_2_7;"""Unsere Lehrkraft spricht sehr flüssig auf Englisch. """;0;0
fps-en_9_2_8;"""Unsere Lehrkraft hat eine sehr gute englische Aussprache. """;0;0
fps-en_9_3;"""Unterstützung der kognitiven Aktivität der Schüler*innen (Scaffolding)""";0;0
fps-en_9_3_1;"""Unsere Lehrkraft lässt mir genügend Zeit, auf Englisch zu antworten.""";0;0
fps-en_9_3_2;"""Wenn man einen Fehler auf Englisch macht, fragt unsere Lehrkraft manchmal die anderen, wie es richtig heißt. """;1;0
fps-en_9_3_3;"""Wenn man ein Wort auf Englisch nicht weiß, fragt unsere Lehrkraft manchmal die anderen, ob sie es wissen. """;1;0
fps-en_9_3_4;"""Für verschiedene Textsorten stellt unsere Lehrkraft hilfreiche Textbausteine und Formulierungen bereit. """;0;0
fps-en_9_3_5;"""Unsere Lehrkraft bereitet uns mit Redewendungen und Formulierungen auf Gesprächssituationen vor.""";1;0
fps-en_9_4;"""Schaffung und Nutzung interdisziplinärer Bezüge zwischen (schulischen) Fremdsprachen als Lerngelegenheiten """;0;0
fps-en_9_4_1;"""Unsere Lehrkraft vergleicht manchmal die englische Grammatik mit der Grammatik, die wir schon aus anderen (Fremd-)Sprachen kennen.""";1;0
fps-en_9_4_2;"""Der Unterricht hilft mir, die deutsche Sprache besser zu verstehen.""";1;0
fps-en_9_4_3;"""Unsere Lehrkraft vergleicht manchmal neue englische Vokabeln mit Vokabeln, die wir schon aus anderen (Fremd-)Sprachen kennen.""";0;0
fps-en_9_5;"""Schaffung hoher Sprechanteile""";0;0
fps-en_9_5_1;"""Unserer Lehrkraft ist es wichtig, dass wir im Unterricht viel Englisch sprechen.""";1;0
fps-en_9_5_2;"""Im Unterricht schafft unsere Lehrkraft viele Gelegenheiten, damit ich mich auf Englisch äußern kann.""";0;0
fps-en_9_5_3;"""Unsere Lehrkraft fordert uns auf, im Unterricht auf Englisch zu antworten.""";1;0
fps-en_9_5_4;"""Im Unterricht sprechen wir in der Regel Englisch.""";1;0
fps-en_9_5_5;"""Wenn ich ein englisches Wort falsch ausspreche, werde ich in der Klasse nicht ausgelacht.""";1;0
fps-en_9_5_6;"""Ich traue mich, im Unterricht auf Englisch zu antworten, auch wenn ich mir manchmal unsicher bin.""";0;0
aes-re_8;"""Ästhetik Evangelische Religion""";0;0
aes-re_8_1;"""Ästhetisch-emotionales Er- und Vorleben""";0;0
aes-re_8_1_1;"""Ich spüre manchmal, wie begeistert unsere Lehrkraft ist, wenn sie mit uns über Religion oder religiöse Texte spricht.""";0;0
aes-re_8_1_2;"""Im Unterricht bin ich manchmal so in das Stundenthema vertieft, dass die Stunde viel schneller als sonst vergeht. """;1;0
aes-re_8_1_3;"""Unsere Lehrkraft schildert gelegentlich, welche Gefühle ihre eigene Beschäftigung mit Religion in ihr ausgelöst haben.""";1;0
aes-re_8_2;"""Freiräume für ästhetisch-emotionale Erfahrungen""";0;0
aes-re_8_2_1;"""Unsere Lehrkraft stellt uns im Unterricht biblische oder andere religiöse Texte vor, die angenehme oder unangenehme Gefühle in mir auslösen.""";1;0
aes-re_8_2_2;"""Unsere Lehrkraft gibt mir genug Zeit, mich mit religiösen Texten und Themen zu beschäftigen, die mich irgendwie beeindrucken.""";1;0
aes-re_8_2_3;"""Unsere Lehrkraft schafft eine angenehme Atmosphäre, so dass ich mich traue, auch über meine eigenen Eindrücke zu religiösen Texte, Inhalten und Themen zu sprechen.""";0;0
aes-re_8_2_4;"""Unsere Lehrkraft ist an unseren eigenen Eindrücken zu religiösen Texten, Themen und Inhalten ernsthaft interessiert.""";1;0
aes-re_8_3;"""Schaffung ästhetischer Handlungsanlässe""";0;0
aes-re_8_3_1;"""Im Unterricht stellt uns unsere Lehrkraft Fragen zu unseren eigenen Eindrücken und Empfindungen bei einem bestimmten Thema.""";1;0
aes-re_8_3_2;"""Unsere Lehrkraft ermuntert uns, über unsere Empfindungen bei bestimmten Stundenthemen zu sprechen.""";1;0
aes-re_8_3_3;"""Unsere Lehrkraft fördert unseren kreativen Umgang mit Themen des Unterrichts.""";0;0
aes-re_8_3_4;"""Im Unterricht können wir manchmal eigene religiöse Texte, wie Gebete, Meditationstexte usw. erfinden.""";1;0
aes-re_8_3_5;"""Unsere Lehrkraft lässt uns Themen der Unterrichtsstunde manchmal eigenständig weiterentwickeln.""";1;0
aes-re_8_3_6;"""Im Unterricht kann ich auch darüber sprechen, dass religiöse Texte, Themen und Handlungen bei mir bestimmte Gefühle auslösen.""";1;0
aes-re_8_4;"""Veränderungen infolge ästhetischer Erfahrung""";0;0
aes-re_8_4_1;"""Einige biblische oder religiöse Texte haben mich im Unterricht so beeindruckt, dass ich mich nun auch in meiner Freizeit gerne mehr mit Religion oder dem chistlichen Glauben beschäftigen möchte.""";1;0
aes-re_8_4_2;"""Über bestimmte Themen (z. B. Gottesbilder, Stellung der Frau, Homosexualität oder ähnliches) empfinde ich anders, nachdem wir im Unterricht darüber gesprochen haben.""";0;0
aes-re_8_4_3;"""Seitdem wir im Unterricht über gewisse biblische/religiöse Texte, oder religiöse Themen  gesprochen haben, verbinde ich damit ein bestimmtes Gefühl.""";1;0
aes-re_8_4_4;"""Unsere Lehrkraft behandelt im Unterricht manchmal Themen mit uns, die mich über mich selbst nachdenken lassen.""";1;0
aes-re_8_5;"""Bewusstsein für Beeinflussung und Gefahren ästhetischer Erfahrung""";0;0
aes-re_8_5_1;"""Ich habe das Gefühl, unsere Lehrkraft möchte, dass ich dasselbe denke oder dasselbe gut finde wie sie.""";0;1
aes-re_8_5_2;"""Ich habe das Gefühl, dass ich bei einem bestimmten Unterrichtsthema etwas fühlen soll, was ich aber gar nicht tue.""";1;1
aes-re_8_5_3;"""Im Unterricht dürfen wir alle unsere freie Meinung äußern, aufgeschrieben wird aber diejenige unserer Lehrkraft.""";1;1
aes-re_8_5_4;"""Ich habe das Gefühl, dass unsere Lehrkraft mir ihre Vorlieben bei der Beschäftigung mit religiösen Themen und Inhalten aufzwingen möchte.""";1;1
fps-re_9;"""fachspezifische Items Evangelische Religion""";0;0
fps-re_9_1;"""Authentizität""";0;0
fps-re_9_1_1;"""Unsere Lehrkraft sagt ehrlich, wenn sie nicht auf alle Fragen fertige Antworten hat. """;1;0
fps-re_9_1_2;"""Ich glaube meiner Lehrkraft, was sie sagt. """;1;0
fps-re_9_1_3;"""Unsere Lehrkraft steht hinter dem, was sie im Religionsunterricht sagt. """;0;0
fps-re_9_2;"""Dialogorientierung""";0;0
fps-re_9_2_1;"""In unserem Religionsunterricht wird normalerweise jede Meinung erst einmal angehört. """;1;0
fps-re_9_2_2;"""Unserer Lehrkraft ist es wichtig, dass Diskussionen nicht so schnell abgebrochen werden, auch wenn eigentlich ein anderes Thema dran wäre. """;1;0
fps-re_9_2_3;"""Unsere Lehrkraft nimmt meine Vorstellungen über Gott oder religiöse Themen ernst. """;1;0
fps-re_9_2_4;"""Unsere Lehrkraft achtet darauf, dass  in Diskussionen über religiöse Themen niemand wegen seiner Vorstellungen ausgelacht wird. """;1;0
fps-re_9_2_5;"""Die Gespräche im Religionsunterricht helfen mir, eine eigene Meinung zu religiösen Themen zu finden. """;1;0
fps-re_9_2_6;"""Die Diskussionen und Gespräche im Religionsunterricht helfen mir, religiöse Themen aus unterschiedlichen Blickwinkeln zu betrachten. """;1;0
fps-re_9_2_7;"""In unserem Religionsunterricht gibt es immer wieder gute Gespräche, über die ich auch später noch nachdenke. """;1;0
fps-re_9_2_8;"""Unsere Lehrkraft weicht auch mal von ihrem Plan im Unterricht ab, wenn es Bedarf an Diskussion gibt. """;1;0
fps-re_9_3;"""Interreligiöses Lernen""";0;0
fps-re_9_3_1;"""Unsere Lehrkraft hilft mir, mich besser in Menschen mit einem anderen Glauben zu versetzen. """;0;0
fps-re_9_3_2;"""Im Religionsunterricht lernen wir die Sichtweisen von Menschen kennen, die anders glauben. """;1;0
fps-re_9_3_3;"""Durch den Religionsunterricht habe ich herausgefunden, was mich mit anderen Religionen und Glaubensweisen verbindet. """;0;0
fps-re_9_3_4;"""Durch den Religionsunterricht habe ich herausgefunden, was mir an anderen Religionen und Glaubensweisen schwerfällt zu akzeptieren. """;1;0
fps-re_9_3_5;"""Im Religionsunterricht sprechen wir auch manchmal mit Menschen anderer Religionen und Glaubensweisen. """;1;0
fps-re_9_4;"""Subjektorientierung""";0;0
fps-re_9_4_1;"""Im Religionsunterricht habe ich das Gefühl, dass ich als Person wichtig bin. """;0;0
fps-re_9_4_2;"""Durch den Religionsunterricht kann ich mit schwierigen Lebensfragen besser umgehen. """;1;0
fps-re_9_4_3;"""Im Religionsunterricht können wir auch mal die dunklen Seiten unseres Lebens ansprechen. """;0;0
fps-re_9_4_4;"""Im Religionsunterricht unserer Lehrkraft kann jeder offen über seinen persönlichen Glauben oder Nicht-Glauben reden. """;1;0
fps-re_9_5;"""Religiöse Deutungsangebote wahrnehmen und darüber entscheiden""";0;0
fps-re_9_5_1;"""Durch den Religionsunterricht unserer Lehrkraft habe ich nun mehr Gewissheit darüber, warum ich religiöse Dinge tue oder auch nicht tue. (Beispiele: Gottesdienst, christliche Jugendgruppe oder Freizeiten besuchen, christliche Lieder singen, für mich und für andere beten). """;1;0
fps-re_9_5_2;"""Durch den Religionsunterricht unserer Lehrkraft wird mir klar, wo mir Religion und Religiöses in meinem Alltag begegnet. """;0;0
fps-re_9_6;"""Seelsorge""";0;0
fps-re_9_6_1;"""Unsere Religionslehrkraft hat immer ein offenes Ohr für uns. """;1;0
fps-re_9_6_2;"""Meiner Religionslehrkraft kann ich mich auch mit schwierigen Fragen  anvertrauen. """;0;0
aes-la_8;"""Ästhetik Latein""";0;0
aes-la_8_1;"""Ästhetisch-emotionales Er- und Vorleben""";0;0
aes-la_8_1_1;"""Ich spüre manchmal, wie begeistert unsere Lehrkraft ist, wenn sie mit uns über bestimmte Inhalte des Lateinunterrichts (z. B. römischer Alltag, Götterwelt und Sagen, Grammatik, Literatur) spricht.""";0;0
aes-la_8_1_2;"""Im Unterricht bin ich manchmal so in das Stundenthema vertieft, dass die Stunde viel schneller als sonst vergeht.""";1;0
aes-la_8_1_3;"""Unsere Lehrkraft schildert gelegentlich, welche Gefühle die Beschäftigung mit lateinischen Texten oder der Besuch antiker Stätten (z. B. Forum Romanum) in ihr ausgelöst haben.""";1;0
aes-la_8_2;"""Freiräume für ästhetisch-emotionale Erfahrungen""";0;0
aes-la_8_2_1;"""Unsere Lehrkraft stellt uns im Unterricht lateinische Texte vor, die angenehme oder unangenehme Gefühle in mir auslösen.""";1;0
aes-la_8_2_2;"""Unsere Lehrkraft gibt mir genug Zeit, mich mit lateinischen Texten und deren Inhalten zu beschäftigen, die mich irgendwie beeindrucken.""";1;0
aes-la_8_2_3;"""Unsere Lehrkraft schafft eine angenehme Atmosphäre, so dass ich mich traue, auch über meine eigenen Eindrücke zu lateinischen Texten und deren Inhalten zu sprechen.""";0;0
aes-la_8_2_4;"""Unsere Lehrkraft ist an unseren eigenen Eindrücken zu lateinischen Texten und deren Inhalten ernsthaft interessiert.""";1;0
aes-la_8_3;"""Schaffung ästhetischer Handlungsanlässe""";0;0
aes-la_8_3_1;"""Im Unterricht stellt uns die Lehrkraft Fragen zu unseren eigenen Eindrücken und Empfindungen bei einem bestimmten Thema.""";1;0
aes-la_8_3_2;"""Ich finde, unsere Lehrkraft achtet meine Vorlieben bei unserer Beschäftigung mit lateinischen Texten und deren Inhalten.""";0;0
aes-la_8_3_3;"""Unsere Lehrkraft ermuntert uns, über unsere Empfindungen bei bestimmten Stundenthemen zu sprechen.""";1;0
aes-la_8_3_4;"""Unsere Lehrkraft fördert unseren kreativen Umgang mit Themen des Unterrichts.""";0;0
aes-la_8_3_5;"""Im Unterricht können wir auch immer wieder Textstellen neu erschließen, hierfür neue Übersetzungsmöglichkeiten (z. B. im Dialekt) erstellen oder diese szenisch darstellen (z. B. als Theaterstück).""";1;0
aes-la_8_3_6;"""Unsere Lehrkraft lässt uns Themen der Unterrichtsstunde manchmal eigenständig weiterentwickeln.""";1;0
aes-la_8_3_7;"""Im Unterricht kann ich auch darüber sprechen, dass lateinische Texte und deren Inhalte bei mir bestimmte Gefühle auslösen.""";1;0
aes-la_8_4;"""Veränderungen infolge ästhetischer Erfahrung""";0;0
aes-la_8_4_1;"""Einige lateinische Texte und deren Inhalte (z. B. Sagen und Götterwelt, Geschichte der Römer) haben mich im Unterricht so beeindruckt, dass ich mich nun auch in meiner Freizeit gerne damit beschäftige.""";1;0
aes-la_8_4_2;"""Über bestimmte Themen (z. B. Sklaverei, Stellung der Frau) empfinde ich anders, nachdem wir im Unterricht darüber gesprochen haben.""";0;0
aes-la_8_4_3;"""Bei bestimmten Beispielen im Unterricht (z. B. Gladiatorenkämpfe, Kriegsdarstellungen, Statuen und Mosaike) verstehe ich nicht, wie diese jemandem gefallen können.""";1;0
aes-la_8_4_4;"""Seitdem wir im Unterricht über gewisse lateinische Texte gesprochen haben, verbinde ich damit ein bestimmtes Gefühl.""";1;0
aes-la_8_4_5;"""Unsere Lehrkraft behandelt im Unterricht manchmal Themen mit uns, die mich über mich selbst nachdenken lassen.""";1;0
aes-la_8_5;"""Bewusstsein für Beeinflussung und Gefahren ästhetischer Erfahrung""";0;0
aes-la_8_5_1;"""Ich habe das Gefühl, unsere Lehrkraft möchte, dass ich dasselbe denke oder dasselbe gut finde wie sie.""";0;1
aes-la_8_5_2;"""Ich habe das Gefühl, dass ich bei einem bestimmten Unterrichtsthema etwas fühlen soll, was ich aber gar nicht tue.""";1;1
aes-la_8_5_3;"""Im Unterricht dürfen wir alle unsere freie Meinung äußern, aufgeschrieben wird aber diejenige unserer Lehrkraft.""";1;1
aes-la_8_5_4;"""Ich habe das Gefühl, dass unsere Lehrkraft mir ihre Vorlieben bei der Beschäftigung mit lateinischen Texten und deren Inhalten aufzwingen möchte.""";1;1
fps-la_9;"""fachspezifische Items Latein""";0;0
fps-la_9_1;"""Fremdheitserfahrung""";0;0
fps-la_9_1_1;"""Im Unterricht lerne ich fremde Lebenswelten kennen.""";1;0
fps-la_9_1_2;"""Der Unterricht eröffnet mir oftmals eine neue Sicht auf (bekannte) Dinge. """;0;0
fps-la_9_1_3;"""Im Unterricht gibt es häufig Gelegenheiten, den Blickwinkel anderer Personen einzunehmen.""";1;0
fps-la_9_1_4;"""Unsere Lehrkraft ermutigt uns, selbstständig Gemeinsamkeiten und Unterschiede zwischen unserer und fremden Lebenswelten zu finden.""";1;0
fps-la_9_1_5;"""Unsere Lehrkraft macht uns immer wieder darauf aufmerksam, dass Menschen in der Antike anders über bestimmte Dinge dachten als heute.""";1;0
fps-la_9_1_6;"""Im Unterricht betrachten wir kritisch, wie die Römer über andere Völker dachten und mit ihnen umgingen.""";1;0
fps-la_9_2;"""Verwendung der Sprache als Reflexionsgegenstand""";0;0
fps-la_9_2_1;"""Unsere Lehrkraft vergleicht Latein immer wieder mit anderen Sprachen (z. B. Deutsch, Englisch, Französisch).""";0;0
fps-la_9_2_2;"""Im Unterricht sprechen wir oft darüber, wie die unterschiedlichen Bedeutungen eines lateinischen Worts zustande kommen.""";1;0
fps-la_9_2_3;"""Im Unterricht sprechen wir oft darüber, wie die unterschiedlichen Bedeutungen eines lateinischen Worts zustande kommen.""";1;0
fps-la_9_2_4;"""Im Unterricht führen wir deutsche Wörter, wenn möglich, auf ihren lateinischen Ursprung zurück.""";0;0
fps-la_9_2_5;"""Unsere Lehrkraft weist regelmäßig darauf hin, dass wir Fachbegriffe wie Kasus, Subjekt oder Adjektiv, die wir im Unterricht lernen, auch auf andere Sprachen anwenden können.""";1;0
fps-la_9_2_6;"""Beim Übersetzen aus dem Lateinischen bemerke ich oft, wie viele Möglichkeiten es gibt, etwas auszudrücken. """;1;0
fps-la_9_3;"""Aktiver Gebrauch der Sprache als Kommunikationsmedium""";0;0
fps-la_9_3_1;"""Unsere Lehrkraft gibt Arbeitsanweisungen auf Lateinisch. """;1;0
fps-la_9_3_2;"""Unsere Lehrkraft gibt (einfache) Antworten auf Lateinisch.""";1;0
fps-la_9_3_3;"""Unserer Lehrkraft ist es wichtig, dass wir lateinische Texte laut vorlesen.""";1;0
fps-la_9_4;"""Auswahl und Berücksichtigung bedeutsamer Rezeptionsdokumente""";0;0
fps-la_9_4_1;"""Im Unterricht beschäftigen wir uns immer wieder mit Bauwerken, Texten oder Kunstgegenständen, die auf antike Vorbilder zurückgehen.""";1;0
fps-la_9_4_2;"""Im Unterricht lerne ich auch Kunst und Literatur kennen, die nach der Antike entstanden ist.""";1;0
fps-la_9_4_3;"""Im Unterricht betrachten und bestimmen wir oft antike Einflüsse auf Kunstwerke und Literatur der Gegenwart.""";0;0
fps-la_9_5;"""Kritische Reflexion über die gegenwärtige (und zukünftige) kulturelle wie auch gesellschaftliche Relevanz des Fachs""";0;0
fps-la_9_5_1;"""Unsere Lehrkraft betont ständig, dass Latein auch heute noch wichtig ist.""";1;1
fps-la_9_5_2;"""Im Unterricht hinterfragen wir, welche Bedeutung die Antike heute noch für uns hat. """;1;0
fps-la_9_5_3;"""Mit unserer Lehrkraft haben wir noch nie diskutiert, warum wir heute noch Latein lernen.""";1;1
fps-la_9_5_4;"""Im Unterricht denken wir auch darüber nach, welchen Nutzen es hat, Latein zu lernen. """;0;0
fps-la_9_6;"""Zeitintensive, stark fokussierte und analytisch genaue Betrachtung von Fachinhalten""";0;0
fps-la_9_6_1;"""Im Unterricht betrachten wir Texte, einzelne Sätze, bestimmte Wörter und deren Endungen immer ganz genau.""";1;0
fps-la_9_6_2;"""Unsere Lehrkraft fordert uns auf, über die Bedeutung von Wörtern genau nachzudenken.""";1;0
fps-la_9_6_3;"""In einer Stunde schaffen wir manchmal nur einen einzigen Satz. """;1;0
fps-la_9_6_4;"""Im Unterricht fällt es schwer, den Zusammenhang eines Texts zu erkennen, weil dieser nur in kurzen Abschnitten gelesen wird.""";1;1
fps-la_9_6_5;"""Im Unterricht lesen wir wenige Sätze. Dann besprechen wir deren Inhalt ausführlich. """;0;0
fps-la_9_6_6;"""Wir diskutieren häufig, wie ein bestimmtes lateinisches Wort oder ein Satzteil zu verstehen ist. """;0;0
fps-la_9_7;"""Regelmäßige Aktualitätsbezüge zur Lebenswelt der Schüler*innen""";0;0
fps-la_9_7_1;"""Unsere Lehrkraft vergleicht häufig aktuelle Ereignisse (z. B. in Gesellschaft, Politik) mit Ereignissen bei den Römern.""";0;0
fps-la_9_7_2;"""Unsere Lehrkraft zeigt uns regelmäßig an Beispielen, wie die Antike unsere Lebenswelt noch heute beeinflusst.""";1;0
fps-la_9_8;"""Förderung einer Faszination an Latein""";0;0
fps-la_9_8_1;"""Unsere Lehrkraft weckt mein Interesse an der Antike.""";1;0
fps-la_9_8_2;"""Unsere Lehrkraft kann mich häufig für Inhalte des Lateinunterrichts begeistern.""";0;0
fps-la_9_8_3;"""Unsere Lehrkraft stellt Inhalte so dar, dass ich mich gerne auch außerhalb des Unterrichts damit beschäftige.""";1;0
aes-ma_8;"""Ästhetik Mathematik""";0;0
aes-ma_8_1;"""Ästhetisch-emotionales Er- und Vorleben""";0;0
aes-ma_8_1_1;"""Ich spüre manchmal, wie begeistert unsere Lehrkraft ist, wenn sie mit uns über Mathematik spricht.""";0;0
aes-ma_8_1_2;"""Im Unterricht bin ich manchmal so in das Stundenthema vertieft, dass die Stunde viel schneller als sonst vergeht.""";1;0
aes-ma_8_1_3;"""Unsere Lehrkraft schildert gelegentlich, welche Gefühle mathematische Themen, Ideen oder Darstellungen in ihr ausgelöst haben.""";1;0
aes-ma_8_2;"""Freiräume für ästhetisch-emotionale Erfahrungen""";0;0
aes-ma_8_2_1;"""Unsere Lehrkraft stellt uns im Unterricht mathematische Themen, Ideen oder Darstellungen vor, die angenehme oder unangenehme Gefühle in mir auslösen.""";1;0
aes-ma_8_2_2;"""Unsere Lehrkraft gibt mir genug Zeit, mich mit mathematischen Themen, Ideen oder Darstellungen zu beschäftigen, die mich irgendwie beeindrucken.""";1;0
aes-ma_8_2_3;"""Unsere Lehrkraft schafft eine angenehme Atmosphäre, so dass ich mich traue, auch über meine eigenen Eindrücke zu mathematischen Themen, Ideen oder Darstellungen zu sprechen.""";0;0
aes-ma_8_2_4;"""Unsere Lehrkraft ist an unseren eigenen Eindrücken zu mathematischen Themen, Ideen oder Darstellungen ernsthaft interessiert.""";1;0
aes-ma_8_3;"""Schaffung ästhetischer Handlungsanlässe""";0;0
aes-ma_8_3_1;"""Im Unterricht stellt uns unsere Lehrkraft Fragen zu unseren eigenen Eindrücken und Empfindungen bei einem bestimmten Thema.""";1;0
aes-ma_8_3_2;"""Ich finde, unsere Lehrkraft achtet meine inhaltlichen Vorlieben in Mathematik.""";0;0
aes-ma_8_3_3;"""Unsere Lehrkraft ermuntert uns, über unsere Empfindungen bei bestimmten Stundenthemen zu sprechen.""";1;0
aes-ma_8_3_4;"""Unsere Lehrkraft fördert unseren kreativen Umgang mit Themen des Unterrichts.""";0;0
aes-ma_8_3_5;"""Im Unterricht können wir immer wieder auch neue mathematische Fragestellungen entdecken, neue Lösungsansätze erarbeiten oder neue Beweismöglichkeiten und Darstellungsarten erfinden.""";1;0
aes-ma_8_3_6;"""Unsere Lehrkraft lässt uns Themen der Unterrichtsstunde manchmal eigenständig weiterentwickeln.""";1;0
aes-ma_8_3_7;"""Im Unterricht kann ich auch darüber sprechen, dass ein mathematisches Thema, eine Idee oder Darstellungsweise bei mir bestimmte Gefühle auslöst.""";1;0
aes-ma_8_4;"""Veränderungen infolge ästhetischer Erfahrung""";0;0
aes-ma_8_4_1;"""Ein mathematisches Thema, eine Idee oder Darstellungsweise hat mich im Unterricht so beeindruckt, dass ich mich nun auch in meiner Freizeit gerne damit beschäftige.""";1;0
aes-ma_8_4_2;"""Über bestimmte Themen empfinde ich anders, nachdem wir im Unterricht darüber gesprochen haben.""";0;0
aes-ma_8_4_3;"""Bei bestimmten mathematischen Symbolen oder Darstellungen (z. B. wichtige Formeln, geometrische Figuren, Graphen von Funktionen) verstehe ich nicht, wie diese jemandem gefallen können.""";1;0
aes-ma_8_4_4;"""Seitdem wir im Unterricht über ein bestimmtes mathematisches Thema, eine Idee oder Darstellung gesprochen haben, verbinde ich damit ein bestimmtes Gefühl.""";1;0
aes-ma_8_4_5;"""Unsere Lehrkraft behandelt im Unterricht manchmal Themen mit uns, die mich über mich selbst nachdenken lassen.""";1;0
aes-ma_8_4_6;"""Unsere Lehrkraft zeigt uns immer wieder auf, dass man die Welt durch Mathematik anders wahrnehmen kann.""";1;0
aes-ma_8_4_7;"""Unsere Lehrkraft zeigt uns immer wieder auf, inwiefern mathematische Erkenntnisse Maler, Musiker oder auch Architekten beeinflusst haben und beeinflussen.""";1;0
aes-ma_8_4_8;"""Im Unterricht behandeln wir immer wieder Themen, die mich die Welt danach mit anderen Augen sehen lassen.""";1;0
aes-ma_8_5;"""Bewusstsein für Beeinflussung und Gefahren ästhetischer Erfahrung""";0;0
aes-ma_8_5_1;"""Ich habe das Gefühl, unsere Lehrkraft möchte, dass ich dasselbe denke oder dasselbe gut finde wie sie.""";0;1
aes-ma_8_5_2;"""Ich habe das Gefühl, dass ich bei einem bestimmten Unterrichtsthema etwas fühlen soll, was ich aber gar nicht tue.""";1;1
aes-ma_8_5_3;"""Im Unterricht dürfen wir alle unsere freie Meinung äußern, aufgeschrieben wird aber diejenige unserer Lehrkraft.""";1;1
aes-ma_8_5_4;"""Ich habe das Gefühl, dass unsere Lehrkraft mir ihre Vorlieben in Mathematik aufzwingen möchte.""";1;1
fps-ma_9;"""fachspezifische Items Mathematik""";0;0
fps-ma_9_1;"""Fremdheitserfahrung""";0;0
fps-ma_9_1_1;"""Im Unterricht lerne ich fremde Lebenswelten kennen.""";1;0
fps-ma_9_1_2;"""Der Unterricht eröffnet mir oftmals eine neue Sicht auf (bekannte) Dinge. """;0;0
fps-ma_9_1_3;"""Im Unterricht gibt es häufig Gelegenheiten, den Blickwinkel anderer Personen einzunehmen.""";1;0
fps-ma_9_1_4;"""Unsere Lehrkraft ermutigt uns, selbstständig Gemeinsamkeiten und Unterschiede zwischen unserer und fremden Lebenswelten zu finden. """;1;0
fps-ma_9_2;"""Modellierung""";0;0
fps-ma_9_2_1;"""Unsere Lehrkraft stellt häufig Aufgaben (zu Alltagssituationen), bei denen wir selbst herausfinden müssen, welche der gegebenen Informationen wichtig sind.""";1;0
fps-ma_9_2_2;"""Unsere Lehrkraft stellt immer wieder Aufgaben (zu Alltagssituationen), bei denen wir selbst herausfinden müssen, ob und welche Informationen fehlen.""";1;0
fps-ma_9_2_3;"""Im Unterricht beschreiben wir Alltagssituationen oftmals mithilfe mathematischer Darstellungen (wie z. B. Skizze, Graph, Term, Gleichung).""";1;0
fps-ma_9_2_4;"""Unserer Lehrkraft ist es wichtig, dass wir lernen zu erkennen, dass sich viele Probleme des Alltags mithilfe von Mathematik beschreiben lassen.""";1;0
fps-ma_9_2_5;"""Im Unterricht macht uns die Lehrkraft häufig vor, wie sie Alltagssituationen Schritt für Schritt in mathematische Darstellungen (z. B. Skizzen, Terme) überführt.""";1;0
fps-ma_9_2_6;"""Unsere Lehrkraft gibt uns Tipps, wie wir selbstständig Alltagssituationen mithilfe von Mathematik beschreiben können.""";1;0
